CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-02-0020-46,06-027,SANTA ROSA,BARBERENA,"COLEGIO TECNOLOGICO MIXTO BILINGUE ""BELEN""","5A. AVENIDA 0-24, ZONA 1, BARRIO LA IGLESIA",78871717,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,ERWIN FEDERICO ZEA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-02-0022-46,06-027,SANTA ROSA,BARBERENA,COLEGIO TECNICO INTEGRADO,"LOTE 10, COLONIA LAS ESTRELLAS",78870936,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,ALLAN PAOLO GIRӎ JIMɎEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-02-0030-46,06-027,SANTA ROSA,BARBERENA,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,"4A. CALLE 8-36, ZONA 1",78445005,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,KARLA JULISA ROMERO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-02-0032-46,06-027,SANTA ROSA,BARBERENA,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,"4A. CALLE 8-36, ZONA 1",78445005,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,ELMA JANETH RAM͒EZ SANDOVAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA
06-02-0037-46,06-027,SANTA ROSA,BARBERENA,"LICEO ""SAN ANTONIO""","LOTE 30, SECTOR EL CAMPO ALDEA FRAY BARTOLOMɠDE LAS CASAS",50194872,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,BAYRON RAFAEL LӐEZ VALENZUELA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA
06-02-0038-46,06-027,SANTA ROSA,BARBERENA,INSTITUTO MIXTO DIVERSIFICADO POR COOPERATIVA DE ENSEсNZA TECNOLӇICO DE SURORIENTE,CABECERA MUNICIPAL,78232493,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,GLORIA LIZBETH CASTAхDA BARRERA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-02-0076-46,06-039,SANTA ROSA,BARBERENA,"CENTRO DE EDUCACIӎ EXTRAESCOLAR ""ESCUELA DE CAFICULTURA""",FINCA LAS FLORES,31692818,JORGE BALDOMERO GONZALEZ BARRERA,WENDY CAROLINA FUENTES ALVARADO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA
06-02-0077-46,06-027,SANTA ROSA,BARBERENA,"COLEGIO PARTICULAR MIXTO ""SAN FRANCISCO DE AS͓""",COLONIA SAN GABRIEL,78871692,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,MARIO ARTURO GALINDO JUREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-02-0080-46,06-027,SANTA ROSA,BARBERENA,"INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""","4A. AVENIDA 1-074, ZONA 1",78227801,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,GUILLERMO ARTURO LINARES VELSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-02-0081-46,06-027,SANTA ROSA,BARBERENA,"INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""","4A. AVENIDA 1-074, ZONA 1",78227801,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,JOSɠANTONIO CORTɚ RAM͒EZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
